id,fullName,link,firstName,lastName,primaryNumber,birthDate,currentAge,birthCity,birthStateProvince,birthCountry,nationality,height,weight,active,alternateCaptain,captain,rookie,shootsCatches,rosterStatus,currentTeam.id,currentTeam.name,currentTeam.link,primaryPosition.code,primaryPosition.name,primaryPosition.type,primaryPosition.abbreviation,index
8471303,Alexander Edler,/api/v1/people/8471303,Alexander,Edler,23,1986-04-21,32,Ostersund,"NA",SWE,SWE,"6' 3""",212,TRUE,FALSE,FALSE,FALSE,L,I,23,Vancouver Canucks,/api/v1/teams/23,D,Defenseman,Defenseman,D,1
8474091,Brandon Sutter,/api/v1/people/8474091,Brandon,Sutter,20,1989-02-14,30,Huntington,NY,USA,CAN,"6' 3""",190,TRUE,FALSE,FALSE,FALSE,R,I,23,Vancouver Canucks,/api/v1/teams/23,C,Center,Forward,C,2
8475690,Christopher Tanev,/api/v1/people/8475690,Christopher,Tanev,8,1989-12-20,29,Toronto,ON,CAN,CAN,"6' 2""",197,TRUE,FALSE,FALSE,FALSE,R,I,23,Vancouver Canucks,/api/v1/teams/23,D,Defenseman,Defenseman,D,3
8476466,Sven Baertschi,/api/v1/people/8476466,Sven,Baertschi,47,1992-10-05,26,Bern,"NA",CHE,CHE,"5' 11""",190,TRUE,FALSE,FALSE,FALSE,L,I,23,Vancouver Canucks,/api/v1/teams/23,L,Left Wing,Forward,LW,4
8477967,Thatcher Demko,/api/v1/people/8477967,Thatcher,Demko,35,1995-12-08,23,San Diego,CA,USA,USA,"6' 4""",192,TRUE,FALSE,FALSE,TRUE,L,I,23,Vancouver Canucks,/api/v1/teams/23,G,Goalie,Goalie,G,5
8480022,Michael DiPietro,/api/v1/people/8480022,Michael,DiPietro,75,1999-06-09,19,Windsor,ON,CAN,CAN,"6' 0""",200,TRUE,FALSE,FALSE,TRUE,L,N,23,Vancouver Canucks,/api/v1/teams/23,G,Goalie,Goalie,G,6
8470626,Loui Eriksson,/api/v1/people/8470626,Loui,Eriksson,21,1985-07-17,33,Gothenburg,"NA",SWE,SWE,"6' 2""",179,TRUE,FALSE,FALSE,FALSE,L,Y,23,Vancouver Canucks,/api/v1/teams/23,L,Left Wing,Forward,LW,7
8473415,Alex Biega,/api/v1/people/8473415,Alex,Biega,55,1988-04-04,30,Montreal,QC,CAN,CAN,"5' 10""",199,TRUE,FALSE,FALSE,FALSE,R,Y,23,Vancouver Canucks,/api/v1/teams/23,D,Defenseman,Defenseman,D,8
8474291,Jay Beagle,/api/v1/people/8474291,Jay,Beagle,83,1985-10-16,33,Calgary,AB,CAN,CAN,"6' 3""",210,TRUE,FALSE,FALSE,FALSE,R,Y,23,Vancouver Canucks,/api/v1/teams/23,C,Center,Forward,C,9
8474593,Jacob Markstrom,/api/v1/people/8474593,Jacob,Markstrom,25,1990-01-31,29,Gävle,"NA",SWE,SWE,"6' 6""",206,TRUE,FALSE,FALSE,FALSE,L,Y,23,Vancouver Canucks,/api/v1/teams/23,G,Goalie,Goalie,G,10
8474849,Antoine Roussel,/api/v1/people/8474849,Antoine,Roussel,26,1989-11-21,29,Roubaix,"NA",FRA,FRA,"5' 11""",199,TRUE,FALSE,FALSE,FALSE,L,Y,23,Vancouver Canucks,/api/v1/teams/23,L,Left Wing,Forward,LW,11
8475790,Erik Gudbranson,/api/v1/people/8475790,Erik,Gudbranson,44,1992-01-07,27,Ottawa,ON,CAN,CAN,"6' 5""",217,TRUE,FALSE,FALSE,FALSE,R,Y,23,Vancouver Canucks,/api/v1/teams/23,D,Defenseman,Defenseman,D,12
8476410,Josh Leivo,/api/v1/people/8476410,Josh,Leivo,17,1993-05-26,25,Innisfil,ON,CAN,CAN,"6' 2""",192,TRUE,FALSE,FALSE,FALSE,R,Y,23,Vancouver Canucks,/api/v1/teams/23,L,Left Wing,Forward,LW,13
8476440,Markus Granlund,/api/v1/people/8476440,Markus,Granlund,60,1993-04-16,25,Oulu,"NA",FIN,FIN,"6' 0""",180,TRUE,FALSE,FALSE,FALSE,L,Y,23,Vancouver Canucks,/api/v1/teams/23,C,Center,Forward,C,14
8476884,Derrick Pouliot,/api/v1/people/8476884,Derrick,Pouliot,5,1994-01-16,25,Estevan,SK,CAN,CAN,"6' 0""",196,TRUE,FALSE,FALSE,FALSE,L,Y,23,Vancouver Canucks,/api/v1/teams/23,D,Defenseman,Defenseman,D,15
8476992,Marek Mazanec,/api/v1/people/8476992,Marek,Mazanec,31,1991-07-18,27,Pisek,"NA",CZE,CZE,"6' 4""",202,TRUE,FALSE,FALSE,FALSE,R,Y,23,Vancouver Canucks,/api/v1/teams/23,G,Goalie,Goalie,G,16
8477018,Ben Hutton,/api/v1/people/8477018,Ben,Hutton,27,1993-04-20,25,Brockville,ON,CAN,CAN,"6' 2""",206,TRUE,FALSE,FALSE,FALSE,L,Y,23,Vancouver Canucks,/api/v1/teams/23,D,Defenseman,Defenseman,D,17
8477213,Tim Schaller,/api/v1/people/8477213,Tim,Schaller,59,1990-11-16,28,Merrimack,NH,USA,USA,"6' 2""",204,TRUE,FALSE,FALSE,FALSE,L,Y,23,Vancouver Canucks,/api/v1/teams/23,C,Center,Forward,C,18
8477353,Tyler Motte,/api/v1/people/8477353,Tyler,Motte,64,1995-03-10,23,St. Clair,MI,USA,USA,"5' 10""",192,TRUE,FALSE,FALSE,FALSE,L,Y,23,Vancouver Canucks,/api/v1/teams/23,C,Center,Forward,C,19
8477500,Bo Horvat,/api/v1/people/8477500,Bo,Horvat,53,1995-04-05,23,London,ON,CAN,CAN,"6' 0""",215,TRUE,FALSE,FALSE,FALSE,L,Y,23,Vancouver Canucks,/api/v1/teams/23,C,Center,Forward,C,20
8477937,Jake Virtanen,/api/v1/people/8477937,Jake,Virtanen,18,1996-08-17,22,Langley,BC,CAN,CAN,"6' 1""",226,TRUE,FALSE,FALSE,FALSE,R,Y,23,Vancouver Canucks,/api/v1/teams/23,R,Right Wing,Forward,RW,21
8477958,Nikolay Goldobin,/api/v1/people/8477958,Nikolay,Goldobin,77,1995-10-07,23,Moscow,"NA",RUS,RUS,"5' 11""",196,TRUE,FALSE,FALSE,FALSE,L,Y,23,Vancouver Canucks,/api/v1/teams/23,R,Right Wing,Forward,RW,22
8478444,Brock Boeser,/api/v1/people/8478444,Brock,Boeser,6,1997-02-25,21,Burnsville,MN,USA,USA,"6' 1""",208,TRUE,FALSE,FALSE,FALSE,R,Y,23,Vancouver Canucks,/api/v1/teams/23,R,Right Wing,Forward,RW,23
8478874,Adam Gaudette,/api/v1/people/8478874,Adam,Gaudette,88,1996-10-03,22,Braintree,MA,USA,USA,"6' 1""",170,TRUE,FALSE,FALSE,TRUE,R,Y,23,Vancouver Canucks,/api/v1/teams/23,C,Center,Forward,C,24
8479442,Troy Stecher,/api/v1/people/8479442,Troy,Stecher,51,1994-04-07,24,Richmond,BC,CAN,CAN,"5' 10""",186,TRUE,FALSE,FALSE,FALSE,R,Y,23,Vancouver Canucks,/api/v1/teams/23,D,Defenseman,Defenseman,D,25
8479772,Zack MacEwen,/api/v1/people/8479772,Zack,MacEwen,71,1996-07-08,22,Charlottetown,PE,CAN,CAN,"6' 3""",205,TRUE,FALSE,FALSE,TRUE,R,Y,23,Vancouver Canucks,/api/v1/teams/23,C,Center,Forward,C,26
